Variant, Num Iterations, Time in µs
standard_e, 5000000, 6718
strength_reduction_e, 5000000, 6686
standard_f, 1000000, 1445
strength_reduction_f, 1000000, 1336
standard_g, 100000000, 137842
strength_reduction_g_union, 100000000, 134947
strength_reduction_g_union2, 100000000, 136300
strength_reduction_g_bits, 100000000, 135195
standard_a, 100000000, 141265
strength_reduction_a, 100000000, 138390
standard_b, 100000000, 135082
strength_reduction_b, 100000000, 140742
standard_c, 100000000, 135114
strength_reduction_c, 100000000, 135694
standard_d, 100000000, 141536
strength_reduction_d, 100000000, 140424
standard_e, 5000000, 6739
strength_reduction_e, 5000000, 6746
standard_f, 1000000, 1334
strength_reduction_f, 1000000, 1346
standard_g, 100000000, 134860
strength_reduction_g_union, 100000000, 134776
strength_reduction_g_union2, 100000000, 135150
strength_reduction_g_bits, 100000000, 136047
standard_a, 100000000, 134070
strength_reduction_a, 100000000, 141334
standard_b, 100000000, 133552
strength_reduction_b, 100000000, 134032
standard_c, 100000000, 134191
strength_reduction_c, 100000000, 133790
standard_d, 100000000, 134472
strength_reduction_d, 100000000, 133668
standard_e, 5000000, 6661
strength_reduction_e, 5000000, 6667
standard_f, 1000000, 1345
strength_reduction_f, 1000000, 1341
standard_g, 100000000, 133652
strength_reduction_g_union, 100000000, 130603
strength_reduction_g_union2, 100000000, 131277
strength_reduction_g_bits, 100000000, 133990
standard_a, 100000000, 134631
strength_reduction_a, 100000000, 134722
standard_b, 100000000, 135464
strength_reduction_b, 100000000, 134671
standard_c, 100000000, 134137
strength_reduction_c, 100000000, 133962
standard_d, 100000000, 134921
strength_reduction_d, 100000000, 133791
standard_e, 5000000, 6682
strength_reduction_e, 5000000, 6659
standard_f, 1000000, 1335
strength_reduction_f, 1000000, 1324
standard_g, 100000000, 138500
strength_reduction_g_union, 100000000, 138920
strength_reduction_g_union2, 100000000, 135184
strength_reduction_g_bits, 100000000, 135498
standard_a, 100000000, 145499
strength_reduction_a, 100000000, 141947
standard_b, 100000000, 148542
strength_reduction_b, 100000000, 136246
standard_c, 100000000, 149051
strength_reduction_c, 100000000, 151362
standard_d, 100000000, 147551
strength_reduction_d, 100000000, 145054
standard_e, 5000000, 6715
strength_reduction_e, 5000000, 6872
standard_f, 1000000, 1384
strength_reduction_f, 1000000, 1363
standard_g, 100000000, 142826
strength_reduction_g_union, 100000000, 146787
strength_reduction_g_union2, 100000000, 139501
strength_reduction_g_bits, 100000000, 136144
standard_a, 100000000, 138048
strength_reduction_a, 100000000, 134973
standard_b, 100000000, 134584
strength_reduction_b, 100000000, 134904
standard_c, 100000000, 134608
strength_reduction_c, 100000000, 138013
standard_d, 100000000, 135533
strength_reduction_d, 100000000, 134997
standard_e, 5000000, 6724
strength_reduction_e, 5000000, 7037
standard_f, 1000000, 1377
strength_reduction_f, 1000000, 1471
standard_g, 100000000, 135165
strength_reduction_g_union, 100000000, 134906
strength_reduction_g_union2, 100000000, 134978
strength_reduction_g_bits, 100000000, 135273
