Variant, Problem Size, Time in s, Correct solution
Ex03, 2048, 0.754297, 1
Ex03, 4096, 2.424361, 1
Ex03, 16384, 10.614629, 1
Ex03, 8192, 5.315940, 1
Ex03, 128, 0.046346, 1
Ex03, 256, 0.092855, 1
Ex03, 512, 0.194848, 1
Ex03, 1024, 0.377795, 1
Ex03, 2048, 0.755502, 1
Ex03, 4096, 2.412878, 1
Ex03, 16384, 10.610695, 1
Ex03, 8192, 5.316174, 1
Ex03, 128, 0.046347, 1
Ex03, 256, 0.092943, 1
Ex03, 1024, 0.377744, 1
Ex03, 2048, 0.755545, 1
Ex03, 4096, 2.351452, 1
Ex03, 16384, 10.615635, 1
Ex03, 8192, 5.315764, 1
Ex03, 128, 0.046328, 1
Ex03, 256, 0.092892, 1
Ex03, 512, 0.194822, 1
Ex03, 1024, 0.377922, 1
Ex03, 2048, 0.756164, 1
Ex03, 4096, 2.351681, 1
Ex03, 16384, 10.616113, 1
Ex03, 8192, 5.316516, 1
Ex03, 128, 0.046420, 1
Ex03, 512, 0.194755, 1
Ex03, 256, 0.092906, 1
Ex03, 1024, 0.377785, 1
Ex03, 2048, 0.755698, 1
Ex03, 16384, 10.610367, 1
Ex03, 4096, 2.425702, 1
Ex03, 8192, 5.316319, 1
Ex03, 128, 0.046354, 1
Ex03, 512, 0.194795, 1
Ex03, 256, 0.093250, 1
Ex03, 1024, 0.379257, 1
Ex03, 2048, 0.755553, 1
Ex03, 16384, 10.612819, 1
Ex03, 4096, 2.468317, 1
Ex03, 8192, 5.320662, 1
Ex03, 128, 0.046376, 1
Ex03, 256, 0.092916, 1
Ex03, 512, 0.194702, 1
Ex03, 1024, 0.377866, 1
Ex03, 2048, 0.755808, 1
Ex03, 4096, 2.351188, 1
Ex03, 16384, 10.615599, 1
Ex03, 8192, 5.309482, 1
Ex03, 128, 0.046341, 1
Ex03, 256, 0.092896, 1
Ex03, 512, 0.194734, 1
Ex03, 1024, 0.377806, 1
Ex03, 2048, 0.755766, 1
Ex03, 4096, 2.325283, 1
Ex03, 16384, 10.620470, 1
Ex03, 8192, 5.309477, 1
