Variant, Problem Size, Time in s, Correct solution
Ex03, 128, 0.028585, 1
Ex03, 256, 0.047728, 1
Ex03, 512, 0.094654, 1
Ex03, 1024, 0.176749, 1
Ex03, 2048, 0.350304, 1
Ex03, 4096, 0.698694, 1
Ex03, 8192, 1.389839, 1
Ex03, 16384, 2.826413, 1
Ex03, 128, 0.028652, 1
Ex03, 256, 0.047634, 1
Ex03, 512, 0.090856, 1
Ex03, 1024, 0.178770, 1
Ex03, 2048, 0.353574, 1
Ex03, 4096, 0.695854, 1
Ex03, 8192, 1.397488, 1
Ex03, 16384, 2.842508, 1
Ex03, 128, 0.028980, 1
Ex03, 256, 0.047807, 1
Ex03, 512, 0.091583, 1
Ex03, 1024, 0.176715, 1
Ex03, 2048, 0.350406, 1
Ex03, 4096, 0.698798, 1
Ex03, 8192, 1.410797, 1
Ex03, 16384, 2.792831, 1
Ex03, 128, 0.031511, 1
Ex03, 256, 0.047660, 1
Ex03, 512, 0.090884, 1
Ex03, 1024, 0.177204, 1
Ex03, 2048, 0.351459, 1
Ex03, 4096, 0.704100, 1
Ex03, 8192, 1.393169, 1
Ex03, 16384, 2.804875, 1
Ex03, 128, 0.028343, 1
Ex03, 256, 0.047629, 1
Ex03, 512, 0.090864, 1
Ex03, 1024, 0.176777, 1
Ex03, 2048, 0.354160, 1
Ex03, 4096, 0.723458, 1
Ex03, 8192, 1.419936, 1
Ex03, 16384, 2.830760, 1
Ex03, 128, 0.028260, 1
Ex03, 256, 0.047717, 1
Ex03, 512, 0.090883, 1
Ex03, 1024, 0.178140, 1
Ex03, 2048, 0.349394, 1
Ex03, 4096, 0.695982, 1
Ex03, 8192, 1.397061, 1
Ex03, 16384, 2.783508, 1
Ex03, 128, 0.028781, 1
Ex03, 256, 0.047261, 1
Ex03, 512, 0.090619, 1
Ex03, 1024, 0.176704, 1
Ex03, 2048, 0.350384, 1
Ex03, 4096, 0.714675, 1
Ex03, 8192, 1.403158, 1
Ex03, 16384, 2.789243, 1
Ex03, 128, 0.028130, 1
Ex03, 256, 0.047868, 1
Ex03, 512, 0.091292, 1
Ex03, 1024, 0.181214, 1
Ex03, 2048, 0.354640, 1
Ex03, 4096, 0.704801, 1
Ex03, 8192, 1.395694, 1
Ex03, 16384, 2.812502, 1
Ex03, 128, 0.029192, 1
Ex03, 256, 0.047292, 1
Ex03, 512, 0.092235, 1
Ex03, 1024, 0.198196, 1
Ex03, 2048, 0.350525, 1
Ex03, 4096, 0.705704, 1
Ex03, 8192, 1.400454, 1
Ex03, 16384, 2.803820, 1
Ex03, 128, 0.028504, 1
Ex03, 256, 0.047741, 1
Ex03, 512, 0.090757, 1
Ex03, 1024, 0.177926, 1
Ex03, 2048, 0.350912, 1
Ex03, 4096, 0.710217, 1
Ex03, 8192, 1.395485, 1
Ex03, 16384, 2.802561, 1
Ex03, 128, 0.027756, 1
Ex03, 256, 0.047518, 1
Ex03, 512, 0.090689, 1
Ex03, 1024, 0.177182, 1
Ex03, 2048, 0.350785, 1
Ex03, 4096, 0.697469, 1
Ex03, 8192, 1.423905, 1
Ex03, 16384, 2.795265, 1
Ex03, 128, 0.028143, 1
Ex03, 256, 0.051253, 1
Ex03, 512, 0.090617, 1
Ex03, 1024, 0.176945, 1
Ex03, 2048, 0.350046, 1
Ex03, 4096, 0.696830, 1
Ex03, 8192, 1.399953, 1
Ex03, 16384, 2.814187, 1
Ex03, 128, 0.028586, 1
Ex03, 256, 0.047708, 1
Ex03, 512, 0.090688, 1
Ex03, 1024, 0.176588, 1
Ex03, 2048, 0.360755, 1
Ex03, 4096, 0.696160, 1
Ex03, 8192, 1.392346, 1
Ex03, 16384, 2.802156, 1
Ex03, 128, 0.027752, 1
Ex03, 256, 0.047552, 1
Ex03, 512, 0.090701, 1
Ex03, 1024, 0.176983, 1
Ex03, 2048, 0.349994, 1
Ex03, 4096, 0.697411, 1
Ex03, 8192, 1.391062, 1
Ex03, 16384, 2.793765, 1
Ex03, 128, 0.028482, 1
Ex03, 256, 0.047544, 1
Ex03, 512, 0.091086, 1
Ex03, 1024, 0.176976, 1
Ex03, 2048, 0.350462, 1
Ex03, 4096, 0.718729, 1
Ex03, 8192, 1.398150, 1
Ex03, 16384, 2.781691, 1
Ex03, 128, 0.031557, 1
Ex03, 256, 0.047820, 1
Ex03, 512, 0.090645, 1
Ex03, 1024, 0.177108, 1
Ex03, 2048, 0.350136, 1
Ex03, 4096, 0.701810, 1
Ex03, 8192, 1.409938, 1
Ex03, 16384, 2.811302, 1
Ex03, 128, 0.027514, 1
Ex03, 256, 0.047585, 1
Ex03, 512, 0.090838, 1
Ex03, 1024, 0.180080, 1
Ex03, 2048, 0.355090, 1
Ex03, 4096, 0.709759, 1
Ex03, 8192, 1.396939, 1
Ex03, 16384, 2.783543, 1
Ex03, 128, 0.027350, 1
